Attaching to hardhat-chainlink-plugin-chainlink-hardhat-node-1, hardhat-chainlink-plugin-chainlink-hardhat-postgres-1
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:52.066Z [DEBUG] Initializing API credentials                       cmd/client.go:719                file=/chainlink/apicredentials logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0024_add_cron_spec_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0025_create_log_config_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0026_eth_tx_meta.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0027_cascade_ocr_latest_round_request.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0028_vrf_v2.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0029_add_webhook_spec_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0030_drop_keys_last_used.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0031_eth_tx_trigger_with_key_address.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0032_rename_direct_request_specs_num_confirmations.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0033_flux_monitor_round_stats_fk_index.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0034_webhook_external_initiator.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0035_create_feeds_managers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0036_external_job_id.go
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0037_cascade_deletes.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0038_create_csa_keys.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0039_remove_fmv2_precision.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0040_heads_l1_block_number.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0041_eth_tx_strategies.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0042_create_job_proposals.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0043_gas_limit_on_eth_tx_attempts.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0044_create_table_ocr_discoverer_database.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0045_add_uuid_to_pipeline_task_runs.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0046_add_fmv2_drumbeat_ticker.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0047_add_uuid_to_job_proposals.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0048_add_ocr_bootstrap_node_to_feeds_manager.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0049_rename_job_id_to_external_job_id_in_job_proposals.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0050_add_ocr_bootstrap_fields_to_feeds_managers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0051_webhook_specs_external_initiators_join.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0052_not_null_job_pipeline_spec_id.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0053_add_fmv2_drumbeat_random_delay.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0054_remove_legacy_pipeline.go
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:54 OK    0055_add_multiaddrs_to_job_proposal.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0056_multichain.go
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0057_add_pipeline_task_runs_id_to_eth_txs.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0058_direct_request_whitelist.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0059_direct_request_whitelist_min_contract_payment.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0060_combine_keys_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0061_multichain_relations.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0062_upgrade_keepers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0063_add_job_proposal_timestamp.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0064_cascade_delete_chain_nodes.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0065_ensure_chain_specific_gas_limit.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0066_update_job_proposal_status.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0067_update_check_job_proposals_status_fsm.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0068_eth_tx_from_address_idx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0069_remove_unused_columns.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0070_dynamic_fee_txes.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0071_allow_null_json_serializable.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0072_drop_unused_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0073_ocr_duplicate_contract_addresses_allowed_across_chains.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0074_simulation_eth_tx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0075_unique_job_names.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0076_add_non_fatal_errors_to_runs.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0077_add_webauthn_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0078_only_one_version.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0079_vrf_v2_fields.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0080_drop_unused_cols.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0081_unconsumed_log_broadcasts.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0082_lease_lock.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0083_add_keeper_confirmations_to_spec.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0084_rename_vrf_min_incoming_confirmations.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0085_requested_confs_delay.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0086_upgrade_keepers_observation_source.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0087_ocr2_tables.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0088_vrfv2_request_timeout.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0089_ocr_spec_drop_p2p_peer_id.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0090_ocr_new_timeouts.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0091_ocr2_relay.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0092_bptxm_tx_checkers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0093_terra_txm.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0094_blockhash_store_job.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0095_terra_fcd.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0096_create_job_proposal_specs.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0097_bootstrap_spec.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0098_fm_clear_job_types_from_bootstrap_nodes.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0099_terra_msgs_created_at.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0100_bootstrap_config.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0101_generic_ocr2.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0102_add_log_broadcasts_block_num_chain_idx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0103_terra_msgs_type_url.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0104_terra_cascade_delete.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0105_create_forwarder_addresses.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0106_evm_node_uniqueness.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0107_vrf_multiple_from_addresses.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0108_upgrade_keepers_tx_meta.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0109_solana_chains_nodes.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0110_add_vrf_chunk_size.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0111_terra_msgs_state_started.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0112_vrf_batch_coordinator_address.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0113_vrf_v2_backoff_columns.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0114_add_last_keeper_id_to_upkeep_table.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0115_log_poller.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0116_migrate_upkeep_id_to_big_int.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0117_add_log_poller_idx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0118_create_feeds_manager_chain_config.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0119_initial_rebroadcast_columns.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0120_log_poller_data_idx.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0121_remove_log_configs.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0122_upgrade_keepers_observation_source.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0123_terra_idx_simplify.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:55 OK    0124_rename_p2pBootstrapPeers_to_p2pv2Bootstrappers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:56 OK    0125_keeper_flatten_schema_version.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:56 OK    0126_remove_observation_source.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:56 OK    0127_add_ocr1_p2pv2Bootstrappers.sql
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022/09/15 00:03:56 goose: no migrations to run. current version: 127
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.035Z [WARN]  ETH_URL was set, automatically inserting/updating chain 31337 and its primary/send-only nodes. It is recommended to unset ETH_URL on subsequent runs and use the API to administer chains/nodes instead evm/legacy.go:77                 evmChainID=31337 logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.065Z [INFO]  Loading chain 31337                                evm/chain_set.go:416             evmChainID=31337 logger=1.6.0@a6a2907.EVM.ChainSet 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.070Z [WARN]  Unrecognised chain 31337, falling back to generic default configuration config/config.go:117             evmChainID=31337 logger=1.6.0@a6a2907.EVM 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.077Z [INFO]  Initializing EVM transaction manager               txmgr/txmgr.go:115               evmChainID=31337 gasBumpTxDepth=10 gasLimitDefault=500000 logger=1.6.0@a6a2907.EVM.Txm maxInFlightTransactions=16 maxQueuedTransactions=250 nonceAutoSync=true 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.080Z [INFO]  Initializing EVM gas estimator in mode: BlockHistory gas/models.go:37                 batchSize=4 blockDelay=1 blockHistorySize=8 eip1559DynamicFees=false eip1559FeeCapBufferBlocks=4 estimatorMode=BlockHistory evmChainID=31337 feeCapDefault=100000000000 gasBumpPercent=20 gasBumpThreshold=3 gasBumpWei=5000000000 gasLimitMultiplier=1 gasPriceDefault=20000000000 gasTipCapDefault=1 gasTipCapMinimum=1 logger=1.6.0@a6a2907.EVM.Txm maxGasPriceWei=100000000000000 minGasPriceWei=1000000000 transactionPercentile=60 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.086Z [INFO]  EvmForwardManager: Disabled                        txmgr/txmgr.go:152               evmChainID=31337 logger=1.6.0@a6a2907.EVM.Txm 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.100Z [INFO]  Nurse service (automatic pprof profiling) is disabled chainlink/application.go:198     logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.104Z [INFO]  DatabaseBackup: periodic database backups are disabled. To enable automatic backups, set DATABASE_BACKUP_MODE=lite or DATABASE_BACKUP_MODE=full chainlink/application.go:241     logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.108Z [WARN]  P2P_LISTEN_PORT was not set, listening on random port 50225. A new random port will be generated on every boot, for stability it is recommended to set P2P_LISTEN_PORT to a fixed value in your environment config/p2p_v1_config.go:84       logger=1.6.0@a6a2907.GeneralConfig p2pPort=50225 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.111Z [DEBUG] Off-chain reporting disabled                       chainlink/application.go:338     logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:03:56.115Z [DEBUG] Off-chain reporting v2 disabled                    chainlink/application.go:379     logger=1.6.0@a6a2907 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:32.068Z [INFO]  New sending address created                        keystore/eth.go:147              address=0x45Ce9CBfb8092438B0ceC65296F2dd23277Ef120 evmChainID=31337 logger=1.6.0@a6a2907.KeyStore 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:37.263Z [INFO]  New funding address created                        keystore/eth.go:164              address=0xaC4d8776798249BA725F55b169dB4E6C1bd70008 evmChainID=31337 logger=1.6.0@a6a2907.KeyStore 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:37.496Z [INFO]  Created P2P key with ID 12D3KooWJrJjnSQ5H593Dx94yRgCaew6PvRZsh7WQaByJtMevrwt keystore/p2p.go:149              logger=1.6.0@a6a2907.KeyStore 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:39.528Z [INFO]  Created CSA key with ID 09f0df4b67eedbc8a2909dc8248537d9770651a71186fa4f3e67321ed7aa77ad keystore/csa.go:155              logger=1.6.0@a6a2907.KeyStore 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:40.885Z [DEBUG] Initializing API credentials                       cmd/client.go:719                file=/chainlink/.api logger=1.6.0@a6a2907.RunNode 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:40.988Z [INFO]  API exposed for user hardhatuser@protofire.io      cmd/local_client.go:243          logger=1.6.0@a6a2907.RunNode 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:40.992Z [DEBUG] Starting service...                                chainlink/application.go:480     logger=1.6.0@a6a2907 serviceType=*synchronization.NoopExplorerClient 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:40.998Z [DEBUG] Starting service...                                chainlink/application.go:480     logger=1.6.0@a6a2907 serviceType=*synchronization.NoopTelemetryIngressClient 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.000Z [DEBUG] Starting service...                                chainlink/application.go:480     logger=1.6.0@a6a2907 serviceType=*synchronization.NoopTelemetryIngressBatchClient 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.002Z [DEBUG] Starting service...                                chainlink/application.go:480     logger=1.6.0@a6a2907 serviceType=*pg.eventBroadcaster 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.004Z [DEBUG] Starting service...                                chainlink/application.go:480     logger=1.6.0@a6a2907 serviceType=*evm.chainSet 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.006Z [DEBUG] Chain: starting with ID 31337                      evm/chain.go:162                 evmChainID=31337 logger=1.6.0@a6a2907.EVM 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.013Z [DEBUG] RPC dial: evmclient.Client#dial                    client/node.go:246               evmChainID=31337 logger=1.6.0@a6a2907.EVM.Node.Lifecycle node=(primary)primary-0-31337:ws://host.docker.internal:8545 nodeName=primary-0-31337 nodeTier=primary wsuri=ws://host.docker.internal:8545 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.050Z [DEBUG] Postgres event broadcaster: connected              pg/event_broadcaster.go:89       logger=1.6.0@a6a2907.EventBroadcaster 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.156Z [DEBUG] RPC dial: success                                  client/node.go:271               evmChainID=31337 logger=1.6.0@a6a2907.EVM.Node.Lifecycle node=(primary)primary-0-31337:ws://host.docker.internal:8545 nodeName=primary-0-31337 nodeTier=primary 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.258Z [INFO]  RPC Node is online                                 client/node_fsm.go:119           evmChainID=31337 logger=1.6.0@a6a2907.EVM.Node.Lifecycle node=(primary)primary-0-31337:ws://host.docker.internal:8545 nodeName=primary-0-31337 nodeState=Alive nodeTier=primary 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.264Z [DEBUG] Booting with 2 keys                                txmgr/txmgr.go:168               evmChainID=31337 keys=[{"ID":1,"Address":"0x45Ce9CBfb8092438B0ceC65296F2dd23277Ef120","NextNonce":0,"IsFunding":false,"EVMChainID":"31337","CreatedAt":"2022-09-15T00:04:32.040948Z","UpdatedAt":"2022-09-15T00:04:32.040948Z"},{"ID":2,"Address":"0xaC4d8776798249BA725F55b169dB4E6C1bd70008","NextNonce":0,"IsFunding":true,"EVMChainID":"31337","CreatedAt":"2022-09-15T00:04:37.222706Z","UpdatedAt":"2022-09-15T00:04:37.222706Z"}] logger=1.6.0@a6a2907.EVM.Txm 
hardhat-chainlink-plugin-chainlink-hardhat-node-1 | 2022-09-15T00:04:41.273Z [DEBUG] Head liveness checking enabled                     client/node_lifecycle.go:88      evmChainID=31337 logger=1.6.0@a6a2907.EVM.Node.Lifecycle.Alive noNewHeadsTimeoutThreshold=180 node=(primary)primary-0-31337:ws://host.docker.internal:8545 nodeName=primary-0-31337 nodeState=Alive nodeTier=primary pollFailureThreshold=5 pollInterval=10 
